iter	Passed	Remaining
506	565	549
507	566	548
508	567	547
509	568	546
510	570	545
511	571	544
512	572	543
513	573	542
514	574	541
515	575	539
516	576	539
517	579	538
518	580	538
519	582	537
520	583	536
521	584	535
522	585	533
523	586	532
524	587	531
525	588	530
526	589	528
527	590	527
528	591	526
529	592	525
530	593	524
531	594	523
532	596	522
533	597	521
534	598	520
535	599	518
536	600	517
537	601	516
538	602	515
539	603	513
540	604	512
541	605	511
542	606	510
543	607	509
544	608	507
545	609	506
546	611	506
547	612	505
548	613	503
549	614	502
550	615	501
551	616	500
552	617	498
553	618	497
554	619	496
555	619	495
556	620	493
557	621	492
558	623	491
559	624	490
560	625	489
561	627	488
562	628	487
563	629	486
564	630	485
565	631	484
566	632	482
567	633	481
568	634	480
569	635	479
570	636	478
571	638	477
572	639	476
573	641	476
574	642	474
575	643	473
576	644	472
577	645	471
578	646	470
579	647	469
580	648	467
581	649	466
582	650	465
583	651	464
584	653	463
585	655	462
586	656	462
587	657	460
588	658	459
589	659	458
590	660	457
591	661	456
592	662	454
593	663	453
594	664	452
595	665	451
596	666	450
597	667	449
598	669	447
599	670	446
600	671	445
601	672	444
602	673	443
603	674	442
604	675	441
605	676	439
606	677	438
607	678	437
608	679	436
609	680	434
610	681	433
611	682	432
612	684	431
613	685	431
614	686	429
615	687	428
616	688	427
617	689	426
618	690	424
619	691	423
620	692	422
621	693	421
622	694	420
623	695	418
624	696	417
625	697	416
626	699	415
627	700	415
628	702	414
629	703	413
630	704	411
631	705	410
632	706	409
633	707	408
634	708	407
635	709	406
636	710	404
637	711	403
638	712	402
639	713	401
640	714	400
641	716	399
642	717	398
643	718	397
644	719	396
645	720	395
646	722	393
647	723	392
648	724	391
649	726	391
650	728	390
651	729	389
652	730	388
653	731	387
654	732	386
655	733	384
656	734	383
657	736	382
658	737	381
659	738	380
660	739	379
661	740	378
662	741	377
663	743	376
664	744	375
665	745	373
666	746	372
667	747	371
668	748	370
669	750	369
670	751	368
671	752	367
672	753	366
673	754	364
674	755	363
675	758	363
676	759	362
677	761	361
678	762	360
679	763	359
680	764	358
681	765	356
682	766	355
683	767	354
684	768	353
685	769	352
686	771	351
687	772	350
688	773	349
689	775	348
690	776	347
691	777	345
692	778	344
693	779	343
694	780	342
695	781	341
696	782	339
697	783	338
698	783	337
699	785	336
700	786	335
701	787	334
702	789	333
703	790	332
704	792	331
705	793	330
706	794	329
707	795	327
708	796	326
709	797	325
710	798	324
711	799	323
712	800	322
713	802	321
714	803	320
715	805	319
716	806	318
717	807	317
718	808	315
719	809	314
720	810	313
721	811	312
722	812	311
723	813	310
724	815	309
725	816	308
726	818	307
727	819	306
728	820	305
729	821	303
730	822	302
731	823	301
732	824	300
733	825	299
734	826	297
735	827	296
736	828	295
737	829	294
738	830	293
739	831	292
740	833	291
741	834	290
742	835	289
743	836	287
744	837	286
745	838	285
746	840	284
747	841	283
748	842	282
749	843	281
750	845	280
751	847	279
752	848	278
753	849	277
754	850	276
755	851	274
756	852	273
757	853	272
758	854	271
759	855	270
760	856	269
761	858	268
762	859	267
763	862	266
764	863	265
765	864	264
766	865	262
767	866	261
768	867	260
769	868	259
770	869	258
771	870	257
772	871	255
773	872	254
774	873	253
775	875	252
776	876	251
777	877	250
778	878	249
779	879	248
780	880	247
781	881	245
782	882	244
783	883	243
784	884	242
785	886	241
786	887	240
787	888	239
788	890	238
789	891	236
790	892	235
791	893	234
792	894	233
793	895	232
794	896	231
795	898	230
796	899	229
797	900	227
798	901	226
799	902	225
800	903	224
801	904	223
802	907	222
803	909	221
804	910	220
805	911	219
806	912	218
807	913	216
808	913	215
809	915	214
810	916	213
811	917	212
812	918	211
813	920	210
814	921	209
815	922	208
816	923	206
817	924	205
818	925	204
819	926	203
820	927	202
821	928	201
822	929	199
823	930	198
824	932	197
825	933	196
826	934	195
827	936	194
828	937	193
829	938	192
830	939	191
831	941	190
832	942	188
833	943	187
834	944	186
835	945	185
836	946	184
837	948	183
838	950	182
839	952	181
840	954	180
841	955	179
842	956	178
843	957	177
844	958	175
845	959	174
846	961	173
847	962	172
848	963	171
849	965	170
850	966	169
851	967	168
852	968	166
853	970	165
854	971	164
855	972	163
856	973	162
857	974	161
858	975	160
859	976	159
860	978	157
861	979	156
862	981	155
863	983	154
864	984	153
865	985	152
866	986	151
867	987	150
868	988	148
869	989	147
870	990	146
871	991	145
872	992	144
873	994	143
874	996	142
875	997	141
876	998	140
877	999	138
878	1000	137
879	1001	136
880	1002	135
881	1003	134
882	1004	133
883	1005	131
884	1006	130
885	1007	129
886	1009	128
887	1010	127
888	1011	126
889	1012	125
890	1013	124
891	1014	122
892	1015	121
893	1016	120
894	1017	119
895	1018	118
896	1019	117
897	1021	116
898	1022	114
899	1024	113
900	1025	112
901	1026	111
902	1027	110
903	1028	109
904	1029	108
905	1030	106
906	1031	105
907	1033	104
908	1034	103
909	1035	102
910	1036	101
911	1037	100
912	1038	98
913	1040	97
914	1041	96
915	1042	95
916	1043	94
917	1044	93
918	1045	92
919	1047	91
920	1048	89
921	1049	88
922	1050	87
923	1051	86
924	1053	85
925	1054	84
926	1056	83
927	1057	82
928	1058	80
929	1059	79
930	1060	78
931	1061	77
932	1062	76
933	1063	75
934	1064	73
935	1065	72
936	1067	71
937	1068	70
938	1069	69
939	1070	68
940	1072	67
941	1073	66
942	1074	64
943	1075	63
944	1076	62
945	1077	61
946	1078	60
947	1079	59
948	1080	58
949	1083	57
950	1086	55
951	1088	54
952	1089	53
953	1090	52
954	1091	51
955	1093	50
956	1094	49
957	1095	48
958	1098	46
959	1100	45
960	1101	44
961	1103	43
962	1104	42
963	1105	41
964	1106	40
965	1107	38
966	1108	37
967	1111	36
968	1114	35
969	1117	34
970	1119	33
971	1120	32
972	1121	31
973	1126	30
974	1128	28
975	1131	27
976	1133	26
977	1134	25
978	1135	24
979	1137	23
980	1139	22
981	1141	20
982	1143	19
983	1144	18
984	1146	17
985	1147	16
986	1149	15
987	1150	13
988	1152	12
989	1154	11
990	1157	10
991	1159	9
992	1160	8
993	1162	7
994	1163	5
995	1165	4
996	1166	3
997	1168	2
998	1170	1
999	1173	0
