iter	RMSE
135	0.7132940668
136	0.710519792
137	0.7070917395
138	0.7036365032
139	0.7010874879
140	0.6989203738
141	0.6928496382
142	0.6865329052
143	0.6841292778
144	0.6817203523
145	0.6748369168
146	0.6724416026
147	0.6707295613
148	0.6683295882
149	0.6644078522
150	0.6616688739
151	0.659563514
152	0.6537752504
153	0.6515890782
154	0.6459525103
155	0.6430243913
156	0.6409684237
157	0.6386865568
158	0.6366317179
159	0.6300685455
160	0.6270642316
161	0.6248062994
162	0.622776214
163	0.6180799499
164	0.6127486569
165	0.6076046877
166	0.6036061026
167	0.6010357361
168	0.5995090347
169	0.5979620331
170	0.5923322396
171	0.5905324889
172	0.5890592201
173	0.5876968146
174	0.5858449481
175	0.5845564156
176	0.5831688931
177	0.5796747377
178	0.5783129484
179	0.5768188164
180	0.5754582848
181	0.5705150707
182	0.5654934698
183	0.5606804094
184	0.5559280178
185	0.5536574056
186	0.5525700728
187	0.5512591016
188	0.5500580344
189	0.548991891
190	0.5448322094
191	0.5436479519
192	0.5396389976
193	0.5364761996
194	0.5354476875
195	0.5339919635
196	0.5329983331
197	0.53189805
198	0.5282570709
199	0.5268318181
200	0.5250470705
201	0.5241985767
202	0.5232732816
203	0.5223964091
204	0.5180140886
205	0.5164542338
206	0.5131263343
207	0.5123325192
208	0.5114485724
209	0.5106836371
210	0.5099460037
211	0.5069897831
212	0.50475713
213	0.5039028007
214	0.5031767251
215	0.5022231014
216	0.5013898143
217	0.500725146
218	0.497545474
219	0.4969020136
220	0.4941219234
221	0.4914801092
222	0.4908500188
223	0.4878846971
224	0.4851191255
225	0.4844332106
226	0.482047213
227	0.4814567319
228	0.4805204913
229	0.4783311201
230	0.4777111122
231	0.4770658598
232	0.4764826628
233	0.4748399704
234	0.4725040446
235	0.4717464249
236	0.4708543294
237	0.4703719103
238	0.4696265605
239	0.4690659423
240	0.4672578068
241	0.4665330089
242	0.4659967001
243	0.4652233923
244	0.4645612367
245	0.4640893761
246	0.4615688328
247	0.4611519075
248	0.460649331
249	0.4585138213
250	0.4581251468
251	0.4569634149
252	0.4563033932
253	0.4556202522
254	0.4523878167
255	0.4504235324
256	0.4477707556
257	0.4471704028
258	0.4441122858
259	0.4435803251
260	0.4432173811
261	0.4428360768
262	0.4424989934
263	0.4405387611
264	0.4391354906
265	0.4388161461
266	0.4363884354
267	0.4356738728
268	0.435223239
269	0.4347560716
270	0.4341922051
271	0.4337527394
272	0.4310777851
273	0.4306060924
274	0.4291305404
275	0.4286131386
276	0.428195495
277	0.4277482989
278	0.4261622237
279	0.4242791488
280	0.4222062179
281	0.421925877
282	0.420119047
283	0.4197986722
284	0.4185451874
285	0.4182474451
286	0.417981416
287	0.4176182816
288	0.4174087673
289	0.4171400863
290	0.4149620088
291	0.4146824844
292	0.4144865179
293	0.4133143634
294	0.4120305445
295	0.4097709929
296	0.4083121401
297	0.4066816824
298	0.4064098024
299	0.4059599751
300	0.4046208688
301	0.4031146502
302	0.4026108959
303	0.4011332469
304	0.4008144082
305	0.4005811109
306	0.3992525792
307	0.3982243546
308	0.3980107097
309	0.3971370288
310	0.3968930696
311	0.3967435124
312	0.3947799558
313	0.3944258735
314	0.3942951502
315	0.3941299472
316	0.3925217875
317	0.3910151717
318	0.390840237
319	0.3906595373
320	0.3901323228
321	0.3898726595
322	0.3884742693
323	0.3867847588
324	0.3851127377
325	0.3839742667
326	0.3838677243
327	0.3824955257
328	0.3821156292
329	0.3817493891
330	0.3816074852
331	0.3799711473
332	0.3785422591
333	0.3773167551
334	0.3760474851
335	0.3744564577
336	0.374308951
337	0.3742204236
338	0.3738984739
339	0.3727858757
340	0.37268119
341	0.3723520148
342	0.3714924674
343	0.370214481
344	0.3692040201
345	0.3678281074
346	0.3667446558
347	0.3664232439
348	0.3656555897
349	0.3643985764
350	0.3636656857
351	0.3633025
352	0.36206876
353	0.3611519051
354	0.3600413381
355	0.3597597401
356	0.3589248995
357	0.3577360104
358	0.3566370271
359	0.3556519308
360	0.3547972
361	0.3542447681
362	0.3531766634
363	0.3524587819
364	0.3516157812
365	0.3513614844
366	0.3506805074
367	0.3501000601
368	0.3498278123
369	0.3488285322
370	0.3477318885
371	0.3469499724
372	0.3462553121
373	0.3453235184
374	0.3445776425
375	0.3433178139
376	0.3421749651
377	0.3411594315
378	0.3397390955
379	0.3390095509
380	0.33831075
381	0.3380203887
382	0.337376845
383	0.3367106868
384	0.3361103666
385	0.3355998378
386	0.3345900408
387	0.3340523893
388	0.3334292765
389	0.3323173227
390	0.331538159
391	0.3308615151
392	0.3303478536
393	0.3296467183
394	0.3285226194
395	0.3277081509
396	0.3270452805
397	0.326593359
398	0.326187073
399	0.3252428736
400	0.3247567962
401	0.3238512569
402	0.3234986697
403	0.3225114595
404	0.3218156613
405	0.3211171526
406	0.3208927697
407	0.3204825365
408	0.3201027174
409	0.3189176513
410	0.3183257527
411	0.3172419578
412	0.3160402282
413	0.3157093994
414	0.314418636
415	0.314010966
416	0.313419314
417	0.3128354663
418	0.3117695554
419	0.3107015434
420	0.3098522433
421	0.3089126148
422	0.3087307642
423	0.3080505588
424	0.3070425472
425	0.3062621855
426	0.3056936323
427	0.3051916939
428	0.3044130345
429	0.3034986004
430	0.3029898106
431	0.3019745966
432	0.3014615262
433	0.3012394675
434	0.3007021563
435	0.3005163098
436	0.2996395228
437	0.2990585015
438	0.298076767
439	0.297147129
440	0.2968048659
441	0.2962476365
442	0.295424941
443	0.2952313122
444	0.2947265742
445	0.2940100472
446	0.2933530044
447	0.2929570948
448	0.2927795283
449	0.2922384825
450	0.2915982425
451	0.2907132736
452	0.2899262324
453	0.2893373537
454	0.2889177508
455	0.2885043113
456	0.2881450666
457	0.2875905929
458	0.2871622761
459	0.2866569296
460	0.2857613439
461	0.285246133
462	0.2847186382
463	0.284262204
464	0.283424963
465	0.283286677
466	0.2828038706
467	0.2819807943
468	0.281252961
469	0.2806813758
470	0.2797992026
471	0.2795595617
472	0.2787314362
473	0.2785828852
474	0.2778635006
475	0.2777277679
476	0.2771816867
477	0.2768004921
478	0.2763101758
479	0.2761661117
480	0.2757179695
481	0.2749427177
482	0.2742878427
483	0.2740676079
484	0.2732091631
485	0.272401864
486	0.2718151879
487	0.2712313779
488	0.2707037806
489	0.270044918
490	0.2695410108
491	0.2691950191
492	0.2686392332
493	0.2680249155
494	0.267507426
495	0.2667399013
496	0.2660768704
497	0.2657467008
498	0.265030834
499	0.264831496
500	0.2644797107
501	0.2639928388
502	0.2637098336
503	0.2632632825
504	0.2628967101
505	0.2621934881
506	0.2614662469
507	0.260570817
508	0.2604384072
509	0.260111698
510	0.2597947319
511	0.2590400266
512	0.2589190537
513	0.2583574914
514	0.2580301737
515	0.257676025
516	0.2575605425
517	0.2569076052
518	0.2567848131
519	0.2564852799
520	0.2558293102
521	0.255112752
522	0.2544792693
523	0.2540652049
524	0.2535198841
525	0.2531412613
526	0.25282409
527	0.252258409
528	0.251410378
529	0.2509337868
530	0.2508251006
531	0.25044228
532	0.2501592065
533	0.2495287577
534	0.2493238676
535	0.2488146292
536	0.2482544304
537	0.2477333725
538	0.2474625994
539	0.2467766485
540	0.2465029684
541	0.2461415179
542	0.2454690249
543	0.2446998867
544	0.2441749047
545	0.2438838763
546	0.2434332522
547	0.2430434077
548	0.2424977649
549	0.2420163891
550	0.2418931489
551	0.2415711356
552	0.2410705699
553	0.2407106216
554	0.2403221064
555	0.2400714307
556	0.2395966168
557	0.2388247925
558	0.2383221909
559	0.2378166451
560	0.2374246897
561	0.2370116085
562	0.2367041593
563	0.236257544
564	0.2359067157
565	0.2353242731
566	0.2347629004
567	0.2341907322
568	0.2339869825
569	0.233594689
570	0.2331840192
571	0.2327953518
572	0.2323709122
573	0.2319198952
574	0.2314428639
575	0.2310121025
576	0.2305282331
577	0.2303061546
578	0.2300863388
579	0.2297086372
580	0.2294127056
581	0.2291655701
582	0.2286870519
583	0.2284417228
584	0.2281300889
585	0.2276400654
586	0.2273635044
587	0.2270277457
588	0.2264285178
589	0.2261722053
590	0.2256944495
591	0.2254976072
592	0.2253019712
593	0.2250795394
594	0.2247960667
595	0.2245089095
596	0.2240797543
597	0.2238130875
598	0.2232985707
599	0.2228539982
600	0.222544702
601	0.2220796829
602	0.2219408897
603	0.2216171998
604	0.2211991924
605	0.2210096044
606	0.2204905971
607	0.220127075
608	0.2197897719
609	0.2194958968
610	0.2191357018
611	0.2189098578
612	0.218480776
613	0.2181348476
614	0.2178900911
615	0.2175102535
616	0.217104205
617	0.2170286093
618	0.2167514013
619	0.216455696
620	0.2159056257
621	0.2157103513
622	0.2152743797
623	0.2151605806
624	0.2147239223
625	0.2145563622
626	0.2143435563
627	0.2139111391
628	0.2134459988
629	0.2129959815
630	0.2123150156
631	0.2121947189
632	0.2119397125
633	0.2115534492
634	0.2112079042
635	0.2110001209
636	0.2106929822
637	0.2101924703
638	0.2100174979
639	0.2094753286
640	0.2090619203
641	0.2086702272
642	0.2083052378
643	0.2080020708
644	0.2076975955
645	0.2076424628
646	0.207073278
647	0.2068486529
648	0.2064361936
649	0.2061691055
650	0.2058858889
651	0.2055403602
652	0.205213374
653	0.2049531448
654	0.2045423592
655	0.2041881739
656	0.2038479766
657	0.2033722444
658	0.2030071429
659	0.2027659726
660	0.2025463304
661	0.2023042438
662	0.202014239
663	0.2018040214
664	0.2015917754
665	0.2014289459
666	0.2012559148
667	0.2010780684
668	0.2008353886
669	0.2006332032
670	0.2004161953
671	0.2002462467
672	0.1998875195
673	0.1997422419
674	0.1995138056
675	0.1991308643
676	0.1987906638
677	0.198483888
678	0.1981740403
679	0.1979515887
680	0.1975013014
681	0.197145582
682	0.1966669446
683	0.1964826642
684	0.19610283
685	0.1957304933
686	0.1953822503
687	0.1951230066
688	0.1949416349
689	0.194580452
690	0.1944480389
691	0.1940696249
692	0.1937722788
693	0.1934949563
694	0.1934342581
695	0.1932083906
696	0.1930164003
697	0.1927156891
698	0.192554026
699	0.1924292242
700	0.1922906472
701	0.1920447928
702	0.1917908835
703	0.191497518
704	0.1911177207
705	0.1906279793
706	0.1903238416
707	0.1899067795
708	0.189564765
709	0.1892736251
710	0.1888343555
711	0.1883684468
712	0.1880049144
713	0.1877048677
714	0.1874133744
715	0.1871398146
716	0.1869079991
717	0.1865751536
718	0.1862447897
719	0.1858762412
720	0.1854965821
721	0.1850728664
722	0.1848883112
723	0.184616734
724	0.1844489612
725	0.1842746086
726	0.1839212139
727	0.1836284282
728	0.1835230239
729	0.183243096
730	0.1829896377
731	0.182843789
732	0.182489617
733	0.1821939753
734	0.1820160246
735	0.1816537081
736	0.1813802846
737	0.1811459587
738	0.1809671307
739	0.1807296919
740	0.1805308625
741	0.1803238704
742	0.1802808657
743	0.1798731075
744	0.179715469
745	0.1794942978
746	0.1792711991
747	0.1789875293
748	0.1787445602
749	0.1784266135
750	0.1782156534
751	0.1780425794
752	0.1778599022
753	0.1776997135
754	0.1774581181
755	0.1771682039
756	0.1769729183
757	0.17692131
758	0.1767178278
759	0.1765767798
760	0.1761444954
761	0.1759252715
762	0.1754958982
763	0.1751759828
764	0.1748719882
765	0.1747450235
766	0.1744717922
767	0.1743316599
768	0.1741456856
769	0.1737975121
770	0.1736164208
771	0.1734636127
772	0.1733857507
773	0.1731896912
774	0.1730303859
775	0.172846157
776	0.1725556709
777	0.1723416614
778	0.1720226707
779	0.1718650776
780	0.1717924669
781	0.1714173344
782	0.1711985961
783	0.1710926168
784	0.1709259805
785	0.1705903667
786	0.1704076614
787	0.1701663153
788	0.1698765689
789	0.1696353626
790	0.1695356937
791	0.169301291
792	0.1690627052
793	0.1688677528
794	0.1686853996
795	0.1685629322
796	0.1683138032
797	0.1681600945
798	0.1680518814
799	0.1677473279
800	0.1676134431
801	0.1672563786
802	0.167126884
803	0.1667134545
804	0.1665933415
805	0.1662763756
806	0.1660389964
807	0.1659018357
808	0.1656721961
809	0.1654604338
810	0.1651303055
811	0.1649411239
812	0.1646614661
813	0.1645281008
814	0.1642975598
815	0.1641559934
816	0.1640067121
817	0.1637180819
818	0.1636220303
819	0.1633732763
820	0.1630136608
821	0.1627587924
822	0.1625325479
823	0.1621287352
824	0.1619303462
825	0.1617506187
826	0.1616133044
827	0.1614581813
828	0.1614096562
829	0.1611910747
830	0.1609998316
831	0.1609608911
832	0.160672383
833	0.1604222172
834	0.1602415803
835	0.1600215881
836	0.1599745317
837	0.1597229168
838	0.1595622778
839	0.159229283
840	0.1591195725
841	0.1588346512
842	0.1586327618
843	0.1584795075
844	0.1583478218
845	0.1582068295
846	0.1579235441
847	0.1577233484
848	0.1575033754
849	0.1573372159
850	0.1570749388
851	0.156832678
852	0.1566582845
853	0.156440085
854	0.156268347
855	0.1561246843
856	0.1559081933
857	0.1558681268
858	0.155644718
859	0.1554010628
860	0.1551105912
861	0.1548728197
862	0.1546158871
863	0.154421091
864	0.1541358371
865	0.1539465394
866	0.153743165
867	0.1534355637
868	0.153200824
869	0.1530986878
870	0.1529473762
871	0.1526971437
872	0.1524756859
873	0.1522490992
874	0.1520549152
875	0.151966488
876	0.1518375377
877	0.1515440629
878	0.1514076897
879	0.1513169945
880	0.1511087379
881	0.1509204735
882	0.1506969152
883	0.1505306503
884	0.1504089931
885	0.1501795439
886	0.1499784365
887	0.1498710784
888	0.1498100065
889	0.1495889616
890	0.1494498981
891	0.1493163712
892	0.1491346329
893	0.1488497721
894	0.1486587296
895	0.1484799819
896	0.1482225105
897	0.1480040311
898	0.1476939154
899	0.1474820439
900	0.1473425011
901	0.1471717519
902	0.147053413
903	0.146939282
904	0.1467226616
905	0.1465142328
906	0.1462790347
907	0.1461911204
908	0.1461025319
909	0.1459784421
910	0.1457755278
911	0.1456717626
912	0.145535782
913	0.1454966597
914	0.1452822513
915	0.1451434684
916	0.1449722239
917	0.1447960068
918	0.1444583549
919	0.144097156
920	0.1439638775
921	0.1437935292
922	0.1435048566
923	0.1433474306
924	0.1431626896
925	0.1429647255
926	0.1427631566
927	0.1426096173
928	0.1424307728
929	0.1423340797
930	0.1420799381
931	0.1418479342
932	0.1417575823
933	0.1415789596
934	0.1413369824
935	0.1410957946
936	0.1408325998
937	0.1406736131
938	0.140571318
939	0.1403401722
940	0.1402580953
941	0.1400256164
942	0.1399568824
943	0.1398375733
944	0.139799452
945	0.1395525722
946	0.1395155453
947	0.1392902952
948	0.1392350897
949	0.1390340398
950	0.1388827573
951	0.1386182687
952	0.1385588046
953	0.138432201
954	0.1382438832
955	0.1380369815
956	0.1378504806
957	0.1376740596
958	0.137462072
959	0.1372603456
960	0.1371081337
961	0.136950851
962	0.1367819508
963	0.1366032897
964	0.1365495755
965	0.136439033
966	0.1362935623
967	0.136204098
968	0.1360340825
969	0.1359911754
970	0.1358187349
971	0.1355571039
972	0.1354394767
973	0.1352539837
974	0.1351276051
975	0.1350262801
976	0.1349087869
977	0.1346860526
978	0.1345085343
979	0.1343664286
980	0.1342836003
981	0.1341650218
982	0.1340589917
983	0.1338305923
984	0.13379532
985	0.1335242838
986	0.1333233859
987	0.1331497149
988	0.1330474526
989	0.1329454532
990	0.1327338764
991	0.1325615137
992	0.1324604425
993	0.1323502034
994	0.1321611685
995	0.1319552825
996	0.1318303436
997	0.1317532238
998	0.1315793057
999	0.1314720602
